Subject Name:C:\Users\pnkid\Desktop\mousedata\Firstrun.txt
File Created: 11/30/2019 2:02:46 PM 
Version: 2.3 
Released: 4/22/2012
 
Elapsed Time 	Action 	 X	Y
1.544	Moved	1401	762
1.545	Moved	1401	760
1.546	Moved	1399	758
1.547	Moved	1398	756
1.548	Moved	1398	755
1.549	Moved	1397	753
1.55	Moved	1397	752
1.551	Moved	1395	750
1.552	Moved	1395	749
1.553	Moved	1394	747
1.554	Moved	1394	745
1.555	Moved	1392	743
1.559	Moved	1393	743
1.563	Moved	1393	744
1.564	Moved	1395	747
1.566	Moved	1393	747
1.946	Moved	1395	747
1.95	Moved	1395	746
1.952	Moved	1394	746
1.953	Moved	1395	748
1.981	Moved	1395	747
1.982	Moved	1394	748
1.983	Moved	1390	748
1.989	Moved	1392	749
1.995	Moved	1392	750
1.999	Moved	1392	751
2.003	Moved	1392	752
2.008	Moved	1392	753
2.012	Moved	1392	754
2.014	Moved	1392	755
2.016	Moved	1391	755
2.02	Moved	1391	756
2.021	Moved	1391	757
2.024	Moved	1390	757
2.025	Moved	1390	758
2.028	Moved	1389	758
2.029	Moved	1389	759
2.032	Moved	1388	759
2.034	Moved	1387	759
2.037	Moved	1387	760
2.038	Moved	1386	760
2.039	Moved	1386	761
2.043	Moved	1385	761
2.044	Moved	1384	761
2.047	Moved	1384	762
2.051	Moved	1383	762
2.054	Moved	1382	762
2.055	Moved	1382	763
2.061	Moved	1381	763
2.069	Moved	1380	763
2.133	Moved	1379	763
2.137	Moved	1380	763
2.145	Moved	1380	762
2.147	Moved	1381	762
2.153	Moved	1381	761
2.16	Moved	1382	760
2.165	Moved	1383	759
2.167	Moved	1383	758
2.171	Moved	1384	758
2.174	Moved	1384	757
2.176	Moved	1385	757
2.18	Moved	1385	756
2.182	Moved	1385	755
2.184	Moved	1386	755
2.188	Moved	1386	754
2.189	Moved	1386	753
2.192	Moved	1387	753
2.196	Moved	1387	752
2.2	Moved	1388	751
2.203	Moved	1388	750
2.205	Moved	1389	750
2.209	Moved	1389	749
2.21	Moved	1389	748
2.215	Moved	1390	748
2.218	Moved	1390	747
2.222	Moved	1391	747
2.227	Moved	1391	746
2.232	Moved	1392	746
2.237	Moved	1392	745
2.247	Moved	1393	745
2.252	Moved	1393	744
2.278	Moved	1394	744
2.287	Moved	1395	744
2.298	Moved	1395	743
2.306	Moved	1396	743
2.313	Moved	1396	742
2.317	Moved	1397	742
2.324	Moved	1397	741
2.325	Moved	1398	741
2.331	Moved	1398	740
2.332	Moved	1398	739
2.337	Moved	1399	739
2.339	Moved	1399	738
2.343	Moved	1400	738
2.348	Moved	1400	737
2.355	Moved	1401	736
2.361	Moved	1402	735
2.369	Moved	1403	734
2.37	Moved	1403	733
2.377	Moved	1404	733
2.378	Moved	1404	732
2.388	Moved	1405	732
2.389	Moved	1406	732
2.532	Moved	1406	731
2.551	Moved	1407	731
2.553	Moved	1408	731
2.558	Moved	1408	732
2.561	Moved	1409	732
2.565	Moved	1409	733
2.567	Moved	1410	733
2.57	Moved	1410	734
2.572	Moved	1411	734
2.575	Moved	1411	735
2.578	Moved	1412	735
2.581	Moved	1412	736
2.583	Moved	1413	736
2.587	Moved	1413	737
2.589	Moved	1414	737
2.592	Moved	1414	738
2.594	Moved	1415	738
2.6	Moved	1415	739
2.601	Moved	1416	739
2.606	Moved	1416	740
2.611	Moved	1417	741
2.613	Moved	1417	742
2.617	Moved	1418	742
2.62	Moved	1418	743
2.624	Moved	1419	743
2.631	Moved	1419	744
2.634	Moved	1419	745
2.64	Moved	1420	745
2.647	Moved	1420	746
2.648	Moved	1421	746
2.655	Moved	1421	747
2.661	Moved	1421	748
2.667	Moved	1422	749
2.671	Moved	1422	750
2.672	Moved	1423	750
2.677	Moved	1423	751
2.682	Moved	1423	752
2.683	Moved	1424	752
2.689	Moved	1424	753
2.692	Moved	1424	754
2.698	Moved	1425	754
2.707	Moved	1425	755
2.722	Moved	1426	755
3.503	Moved	1426	756
3.507	Moved	1426	755
3.511	Moved	1427	754
3.513	Moved	1427	753
3.514	Moved	1428	753
3.516	Moved	1428	752
3.518	Moved	1428	751
3.52	Moved	1429	750
3.522	Moved	1429	749
3.524	Moved	1429	748
3.525	Moved	1429	747
3.526	Moved	1430	747
3.527	Moved	1430	746
3.528	Moved	1430	745
3.53	Moved	1430	744
3.531	Moved	1431	743
